ár árlegur
nauðsyn nauðsynlegur
eðli eðlilegur
alvara alvarlegur
alþjóð alþjóðlegur
venja venjulegur
félag félagslegur
hætta hættulegur
persóna persónulegur
fjárhagur fjárhagslegur
dagur daglegur
yndi yndislegur
andi andlegur
ánægja ánægjulegur
efnahagur efnahagslegur
fag faglegur
ró rólegur
kynferði kynferðislegur
leiði leiðinlegur
aðgengi aðgengilegur
skrif skriflegur
efni efnilegur
upphaf upphaflegur
maður mannlegur
tækni tæknilegur
regla reglulegur
lýðræði lýðræðislegur
málefni málefnalegur
lög löglegur
náttúra náttúrulegur
furða furðulegur
skaði skaðlegur
samfélag samfélagslegur
sorg sorglegur
hátíð hátíðlegur
gagn gagnlegur
einkenni einkennilegur
vísindi vísindalegur
líf líflegur
forvitni forvitnilegur
menning menningarlegur
verk verklegur
þokki þokkalegur
æði æðislegur
nútími nútímalegur
ævintýri ævintýralegur
brot brotlegur
fræði fræðilegur
lögfræði lögfræðilegur
vandræði vandræðalegur
