líkur ólíkur
breyttur óbreyttur
trúlegur ótrúlegur
dýr ódýr
eðlilegur óeðlilegur
líklegur ólíklegur 
löglegur ólöglegur
lögmætur ólögmætur
sáttur ósáttur
heimill óheimill
háður óháður
fær ófær
sanngjarn ósanngjarn
þarfur óþarfur
þekktur óþekktur
sammála ósammála
beinn óbeinn
kominn ókominn
nýtur ónýtur
þægilegur óþægilegur
ánægður óánægður
tvíræður ótvíræður
umdeildur óumdeildur
skiljanlegur óskiljanlegur
fullnægjandi ófullnægjandi
viðunandi óviðunandi
gildur ógildur
hagstæður óhagstæður
formlegur óformlegur
verðtryggður óverðtryggður
kunnugur ókunnugur
ásættanlegur óásættanlegur
raunhæfur óraunhæfur
verulegur óverulegur
æskilegur óæskilegur
nefndur ónefndur
skráður óskráður
hefðbundinn óhefðbundinn
tímabær ótímabær
heppinn óheppinn
hræddur óhræddur
viðeigandi óviðeigandi
skyldur óskyldur
takmarkaður ótakmarkaður
skýr óskýr
ákveðinn óákveðinn
sannur ósannur
tímabundinn ótímabundinn
hóflegur óhóflegur
hæfur óhæfur
