atriði aðalatriði
áhersla aðaláhersla
áhugamál aðaláhugamál
bygging aðalbygging
einkunn aðaleinkunn
fulltrúi aðalfulltrúi
fundur aðalfundur
gata aðalgata
hlutverk aðalhlutverk
höfundur aðalhöfundur
inngangur aðalinngangur
mál aðalmál
námskrá aðalnámskrá
réttur aðalréttur
skipulag aðalskipulag
skrifstofa aðalskrifstofa
stöð aðalstöð
vél aðalvél
lið aðallið
ástæða aðalástæða
sök aðalsök
atvinnuvegur aðalatvinnuvegur
dyr aðaldyr
hæð aðalhæð
leikkona aðalleikkona
ráðgjafi aðalráðgjafi
ræðismaður aðalræðismaður
skoðun aðalskoðun
umræðuefni aðalumræðuefni
vegur aðalvegur
grein aðalgrein
atvinna aðalatvinna
banki aðalbanki
braut aðalbraut
bækistöð aðalbækistöð
erindi aðalerindi
hluti aðalhluti
hús aðalhús
inntak aðalinntak
kostur aðalkostur
litur aðallitur
mynd aðalmynd
rétt aðalrétt
meðferð aðalmeðferð
stefnandi aðalstefnandi
krafa aðalkrafa
styrktaraðili aðalstyrktaraðili
vandi aðalvandi
völlur aðalvöllur
stjarna aðalstjarna 
