stefna stefnandi
eiga eigandi
stjórna stjórnandi
neyta neytandi
kjósa kjósandi
framleiða framleiðandi
keppa keppandi
kaupa kaupandi
áfrýja áfrýjandi
lesa lesandi
nota notandi
verja verjandi
mótmæla mótmælandi
stofna stofnandi
selja seljandi
endurskoða endurskoðandi
gagnrýna gagnrýnandi
þola þolandi
kæra kærandi
rækta ræktandi
sýna sýnandi
gera gerandi
leigja leigjandi
hlusta hlustandi
skipuleggja skipuleggjandi
flytja flytjandi
leiðbeina leiðbeinandi
svara svarandi
rannsaka rannsakandi
þýða þýðandi
fylgja fylgjandi
iðka iðkandi
sækja sækjandi
byrja byrjandi
bjóða bjóðandi
greiða greiðandi
auglýsa auglýsandi
greina greinandi
unna unnandi
leika leikandi
ákæra ákærandi
senda sendandi
stíga stígandi
finna finnandi
gefa gefandi
þiggja þiggjandi
deila deilandi
tilkynna tilkynnandi
spyrja spyrjandi
syrgja syrgjandi
