þjálfa þjálfari
dæma dómari
kenna kennari
leika leikari
ljósmynda ljósmyndari
skulda skuldari
spila spilari
rita ritari
dansa dansari
leiða leiðari
rappa rappari
hlaupa hlaupari
mála málari
kafa kafari
njósna njósnari
uppljóstra uppljóstrari
blogga bloggari
baka bakari
frelsa frelsari
rokka rokkari
teikna teiknari
tromma trommari
vernda verndari
prenta prentari
safna safnari
skapa skapari
miðla miðlari
lyfta lyftari
blanda blandari
forrita forritari
bóka bókari
nauðga nauðgari
smygla smyglari
skynja skynjari
telja teljari
svíkja svikari
hakka hakkari
múra múrari
skrifa skrifari
blása blásari
skrásetja skrásetjari
nudda nuddari
þurrka þurrkari
ljúga lygari
raka rakari
svindla svindlari
braska braskari
lesa lesari
klippa klippari
flakka flakkari
