afhenda afhending
aflétta aflétting
alhæfa alhæfing
beita beiting
benda bending
binda binding
breyta breyting
bylta bylting
bæta bæting
dreifa dreifing
einkavæða einkavæðing
eyða eyðing
ferma ferming
fullgilda fullgilding
fylkja fylking
fylla fylling
fyrirgefa fyrirgefning
fæða fæðing
girða girðing
hreyfa hreyfing
kynna kynning 
kæla kæling
lenda lending
leysa leysing
lýsa lýsing
lækna lækning
merkja merking
mæla mæling 
næra næring 
refsa refsing 
sigla sigling 
skipta skipting 
skýra skýring 
snyrta snyrting 
sprengja sprenging 
stilla stilling 
stýra stýring 
svipta svipting
æfa æfing
játa játning
melta melting
mæta mæting
nýta nýting
pynta pynting
pæla pæling
sannfæra sannfæring
vakna vakning
veita veiting
virða virðing
vænta vænting
