vík víkingur
andstaða andstæðingur
hjúkrunarfræði hjúkrunarfræðingur
hagfræði hagfræðingur
kylfa kylfingur
sálfræði sálfræðingur
verkfræði verkfræðingur
gjörð gjörningur
snilld snillingur
sagnfræði sagnfræðingur
vara varningur
viðskiptafræði viðskiptafræðingur
bók bæklingur
heimspeki heimspekingur
stjórnmálafræði stjórnmálafræðingur
fornleifafræði fornleifafræðingur
jarðfræði jarðfræðingur
líffræði líffræðingur
barnaníð barnaníðingur
jeppi jepplingur
gæði gæðingur
lyfjafræði lyfjafræðingur
náttúrufræði náttúrufræðingur
köttur kettlingur
guðfræði guðfræðingur
bókmenntafræði bókmenntafræðingur
spenna spenningur
stærðfræði stærðfræðingur
speki spekingur
tölvunarfræði tölvunarfræðingur
félagsfræði félagsfræðingur
næringarfræði næringarfræðingur
mannfræði mannfræðingur
eðlisfræði eðlisfræðingur
vitleysa vitleysingur
stjörnufræði stjörnufræðingur
bekkur bekkingur
efnafræði efnafræðingur
þjóðfræði þjóðfræðingur
brjálæði brjálæðingur
fátækt fátæklingur
málfræði málfræðingur
vit vitringur
vindill vindlingur
níð níðingur
hugmyndafræði hugmyndafræðingur
Færeyjar Færeyingur
Grænland Grænlendingur
Holland Hollendingur
Keflavík Keflvíkingur
