mynd mynda
hjálp hjálpa
boð boða
trú trúa
bann banna
spjall spjalla
stopp stoppa
dans dansa
bros brosa
spark sparka
prent prenta
prjón prjóna
rugl rugla
bank banka
tog toga
smakk smakka
hik hika
klikk klikka
hopp hoppa
kaf kafa
bor bora
brú brúa
klapp klappa
grill grilla
fiskur fiska
krydd krydda
tákn tákna
klór klóra
bað baða
nudd nudda
lím líma
flakk flakka
flagg flagga
lykt lykta
fals falsa
bragð bragða
rím ríma
svindl svindla
níð níða
stapp stappa
mjólk mjólka
knús knúsa
skák skáka
káf káfa
væl væla
blogg blogga
plan plana
mal mala
öfund öfunda
skokk skokka
