sagður segja
talinn telja
lagður leggja
settur setja
fluttur flytja
fylginn fylgja
hafinn hefja
spurður spyrja
sóttur sækja
seldur selja
tryggur tryggja
byrjaður byrja
seldur selja
skilinn skilja
samþykkur samþykkja
krafinn krefja
valinn velja
tengdur tengja
þekktur þekkja
saminn semja
studdur styðja
sterkur styrkja
varinn verja
hryggur hyggja
rakinn rekja
blekktur blekkja
vígður vígja
vanræktur vanrækja
steiktur steikja
veðsettur veðsetja
umvafinn umvefja
svarinn sverja
aðskilinn aðskilja
taminn temja
undanskilinn undanskilja
smurður smyrja
þaninn þenja
upphafinn upphefja
sýktur sýkja
umlukinn umlykja
útsettur útsetja
ómerktur ómerkja
umkringdur umkringja
marinn merja
niðurlægður niðurlægja
skrásettur skrásetja
skýjaður skýja
tímasettur tímasetja
hlýr hlýja
skuldsettur skuldsetja
