Bandaríkin Bandaríkjamaður
England Englendingur
Bretland Breti
Danmörk Dani
Noregur Norðmaður
Þýskaland Þjóðverji
Frakkland Frakki
Svíþjóð Svíi
Spánn Spánverji
Rússland Rússi
Ítalía Ítali
Kína Kínverji
Holland Hollendingur
Japan Japani
Ísrael Ísraeli
Grikkland Grikki
Skotland Skoti
Írland Íri
Pólland Pólverji
Tyrkland Tyrki
Finnland Finni
Brasilía Brasilíumaður
Sviss Svisslendingur
Ástralía Ástrali
Kanada Kanadamaður
Færeyjar Færeyingur
Belgía Belgi
Sýrland Sýrlendingur
Indland Indverji
Palestína Palestínumaður
Írak Íraki
Portúgal Portúgali
Austurríki Austurríkismaður
Íran Írani
Grænland Grænlendingur
Argentína Argentínumaður
Ungverjaland Ungverji
Úkraína Úkraínumaður
Tékkland Tékki
Afganistan Afgani
Króatía Króati
Serbía Serbi
Egyptaland Egypti
Mexíkó Mexíkói
Pakistan Pakistani
Búlgaría Búlgari
Rúmenía Rúmeni
Nígería Nígeríumaður
Albanía Albani
Kólumbía Kólumbíumaður
