Ísafjörður	Ísfirðingur
Borgarnes	Borgnesingur
Grundarfjörður	Grundfirðingur
Borgarfjörður	Borgfirðingur
Njarðvík	Njarðvíkingur
Keflavík	Keflvíkingur
Grindavík	Grindvíkingur
Hveragerði	Hvergerðingur
Selfoss	Selfyssingur
Hornafjörður	Hornfirðingur
Vestmannaeyjar	Eyjamaður
Akureyri	Akureyringur
Mývatn	Mývetningur
Húsavík	Húsvíkingur
Reykjavík	Reykvíkingur
Garðabær	Garðbæingur
Hafnarfjörður	Hafnfirðingur
Mosfellsbær	Mosfellingur
Grímsey	Grímseyingur
Ólafsfjörður	Ólafsfirðingur
Seyðisfjörður	Seyðfirðingur
Tálknafjörður	Tálknfirðingur
Norðfjörður	Norðfirðingur
Hólmavík	Hólmvíkingur
Stykkishólmur	Hólmari
Flatey	Flateyingur
Grundarfjörður	Grundfirðingur
Snæfellsbær	Snæfellingur
Ólafsvík	Ólafsvíkingur
Súðavík	Súðvíkingur
Patreksfjörður	Patreksfirðingur
Tálknafjörður	Tálknfirðingur
Blönduós	Blönduósingur
Siglufjörður	Siglfirðingur
Dalvík	Dalvíkingur
Stöðvarfjörður	Stöðfirðingur
Hornafjörður	Hornfirðingur
Breiðdalsvík	Breiðdælingur
Fáskrúðsfjörður	Fáskrúðsfirðingur
Bolungarvík	Bolvíkingur
Suðurnes	Suðurnesjamaður
Egilsstaðir	Héraðsbúi
Akranes	Skagamaður
Kópavogur	Kópavogsbúi
höfuðborg	höfuðborgarbúi
Austfirðir	Austfirðingur
Vestfirðir	Vestfirðingur
Norðurland	Norðlendingur
Suðurland	Sunnlendingur
Vesturland	Vestlendingur
