merkileg merkilegri
ljós ljósari
mikil meiri
góð betri
löng lengri
gömul eldri
skemmtileg skemmtilegri
auðveld auðveldari
slæm verri
algeng algengari
vinsæl vinsælli
traust traustari
fersk ferskari
ítarleg ítarlegri
falleg fallegri
flókin flóknari
ánægð ánægðari
opin opnari
fín fínni
skýr skýrari
ung yngri
sterk sterkari
jákvæð jákvæðari
björt bjartari
köld kaldari
líkleg líklegri
vönduð vandaðri
sérhæfð sérhæfðari
heppileg heppilegri
mjó mjórri
mjúk mýkri
fljót fljótari
flott flottari
róleg rólegri
vond verri
þétt þéttari
óvenjuleg óvenjulegri
þægileg þægilegri
þunn þynnri
stóra stærri
víða víðari
alþjóðlega alþjóðlegri
faglega faglegri
mikla meiri
hættulega hættulegri
duglega duglegri
eðlilega eðlilegri
óvenjulega óvenjulegri
bláa blárri
ódýra ódýrari
