brúnn brúnni
veikur veikari
heitur heitari
léttur léttari
vinsæll vinsælli
hægur hægari
ljós ljósari
góður betri
erfiður erfiðari
mikilvægur mikilvægari
nýr nýrri
eðlilegur eðlilegri
gamall eldri
langur lengri
líklegur líklegri
stuttur styttri
auðveldur auðveldari
opinn opnari
skemmtilegur skemmtilegri
ungur yngri
beinn beinni
slæmur verri
algengur algengari
hár hærri
einfaldur einfaldari
sterkur sterkari
hreinn hreinni
grænn grænni
alvarlegur alvarlegri
merkilegur merkilegri
fallegur fallegri
bjartsýnn bjartsýnni
þekktur þekktari
traustur traustari
ferskur ferskari
ánægður ánægðari
fínn fínni
skýr skýrari
líklegur líklegri
vandaður vandaðri
heppilegur heppilegri
mjór mjórri
mjúkur mýkri
þéttur þéttari
óvenjulegur óvenjulegri
þægilegur þægilegri
þunnur þynnri
stóri stærri
alþjóðlegi alþjóðlegri
mikli meiri
