hægt hægara
margt fleira
ljóst ljósara
mikið meira
gott betra
erfitt erfiðara
rétt réttara
mikilvægt mikilvægara
sjálfsagt sjálfsagðara
nauðsynlegt nauðsynlegra
nýtt nýrra
skammt skemmra
eðlilegt eðlilegra
gamalt eldra
stór stærra
langt lengra
auðvelt auðveldara
opið opnara
skemmtilegt skemmtilegra
ungt yngra
beint beinna
fátt færra
ólíklegt ólíklegra
slæmt verra
vænt vænna
algengt algengara
hátt hærra
einfalt einfaldara
sterkt sterkara
hreint hreinna
grænt grænna
alvarlegt alvarlegra
vítt víðara
ólíklegt ólíklegra
verulegt verulegra
flókið flóknara
bjart bjartara
hugsanlegt hugsanlegra
skynsamlegt skynsamlegra
dýrt dýrara
kalt kaldara
öruggt öruggara
virka virkara
öfluga öflugra
vinsæla vinsælla
veika veikara
brúna brúnna
létta léttara
heita heitara
þunga þyngra
