krafa krafan
veður veðrið
tími tíminn
húsnæði húsnæðið
embætti embættið
menning menningin
dóttir dóttirin
þingflokkur þingflokkurinn
vél vélin
tónlist tónlistin
trygging tryggingin
sonur sonurinn
eign eignin
rekstur reksturinn
mál málið
ríki ríkið
staður staðurinn
ár árið
þing þingið
heimur heimurinn
stjórn stjórnin
sjóður sjóðurinn
frumvarp frumvarpið
framtíð framtíðin
dómur dómurinn
líf lífið
formaður formaðurinn
ráðuneyti ráðuneytið
kyn kynið
fundur fundurinn
stjórnarskrá stjórnarskráin
kvöld kvöldið
móðir móðirin
bók bókin
samband sambandið
þingmaður þingmaðurinn
kona konan
umferð umferðin
læknir læknirinn
grein greinin
heimspekingur heimspekingurinn
breyting breytingin
uppreisn uppreisnin
fjárfestingarfélag fjárfestingarfélagið
fang fangið
salt saltið
far farið
gras grasið
slag slagið
umslag umslagið
