veður veðurs
vegur vegs
maður manns
félag félags
fólk fólks
dagur dags
nefnd nefndar
hús húss
sími síma
leikur leiks
afgangur afgangs
fáni fána
stjórnmálaflokkur stjórnmálaflokks
heimilislæknir heimilislæknis
fyrirsvarsmaður fyrirsvarsmanns
bakvörður bakvarðar
makríll makríls
félagi félaga
mælikvarði mælikvarða
skalli skalla
kunningi kunningja
listmálari listmálara
brú brúar
sorg sorgar
tilnefning tilnefningar
bókun bókunar
takmörkun takmörkunar
svipting sviptingar
stöðvun stöðvunar
leiðsögn leiðsagnar
röskun röskunar
lífstíð lífstíðar
dvöl dvalar
bensínstöð bensínstöðvar
kveðja kveðju
ekkja ekkju
hugleiðsla hugleiðslu
uppákoma uppákomu	
bólusetning bólusetningar
guðsþjónusta guðsþjónustu
tal tals
land lands
mark marks
lag lags
vald valds
val vals
fasteignafélag fasteignafélags
þak þaks
skóli skóla
króna krónu
