vegur vegir
félag félög
maður menn
þjóð þjóðir
banki bankar
strákur strákar
sími símar
leikur leikir
veiðimaður veiðimenn
hönnuður hönnuðir
vagn vagnar
keppinautur keppinautar
stjórnmálaflokkur stjórnmálaflokkar
heimilislæknir heimilislæknar
fræðimaður fræðimenn
ökuþór ökuþórar
fyrirsvarsmaður fyrirsvarsmenn
spámaður spámenn
félagi félagar
mælikvarði mælikvarðar
skalli skallar
mótmælandi mótmælendur
kunningi kunningjar
brú brýr
sorg sorgir
skrá skrár
tilnefning tilnefningar
bókun bókanir
sýn sýnir
takmörkun takmarkanir
svipting sviptingar
húseign húseignir
röskun raskanir
bensínstöð bensínstöðvar
kveðja kveðjur
uppákoma uppákomur	
bólusetning bólusetningar
land lönd
mark mörk
lag lög
vald völd
val völ
glas glös
þak þök
far för
óhapp óhöpp
gramm grömm
plan plön
haft höft
spark spörk
