fara fór
sofa svaf
bjóða bauð
líta leit
éta át
frjósa fraus
svíkja sveik
bresta brast
sökkva sökk
ljúga laug
strjúka strauk
springa sprakk
gráta grét
bíta beit
drífa dreif
kljúfa klauf
vaða óð
sníða sneið
kvíða kveið
rjúka rauk
vella vall
fljóta flaut
þjóta þaut
hanga hékk
skjálfa skalf
skríða skreið
skína skein
höggva hjó
stökkva stökk
grafa gróf
samþykkja samþykkti
neita neitaði
prófa prófaði
styðja studdi
synda synti
andmæla andmælti
hvísla hvíslaði
sökkva sökkti
vanda vandaði
hlýða hlýddi
skreyta skreytti
útnefna útnefndi
klúðra klúðraði
blæða blæddi
rifna rifnaði
sannfæra sannfærði
eiga átti
þurfa þurfti
vilja vildi
vita vissi
