vera verið
syngja sungið
fara farið
sofa sofið
bjóða boðið
líta litið
ausa ausið
éta étið
frjósa frosið
svíkja svikið
bresta brostið
bíta bitið
drífa drifið
kljúfa klofið
vaða vaðið
sníða sniðið
skafa skafið
vinda undið
spinna spunnið
rjúka rokið
afnema afnumið
fljóta flotið
hanga hangið
skríða skriðið
fyrirgefa fyrirgefið
stökkva stokkið
gjósa gosið
vaða vaðið
grafa grafið
samþykkja samþykkt
neita neitað
prófa prófað
styðja stutt
synda synt
samræma samræmt
skáka skákað
andmæla andmælt
útrýma útrýmt
áreita áreitt
raska raskað
farga fargað
millifæra millifært
misskilja misskilið
hnekkja hnekkt
sökkva sokkið
vanda vandað
eiga átt
þurfa þurft
vilja viljað
vita vitað
