verið var
sagt sagði
gengið gekk
sungið söng
farið fór
sofið svaf
boðið bauð
litið leit
étið át
frosið fraus
svikið sveik
brostið brast
sokkið sökk
logið laug
strokið strauk
sprungið sprakk
grátið grét
bitið beit
drifið dreif
klofið klauf
vaðið óð
sniðið sneið
undið vatt
rokið rauk
flotið flaut
hangið hékk
skriðið skreið
stokkið stökk
gosið gaus
vaðið óð
grafið gróf
samþykkt samþykkti
neitað neitaði
prófað prófaði
stutt studdi
synt synti
andmælt andmælti
sökkt sökkti
vandað vandaði
hlýtt hlýddi
skreytt skreytti
útnefnt útnefndi
klúðrað klúðraði
blætt blæddi
rifnað rifnaði
sannfært sannfærði
átt átti
þurft þurfti
viljað vildi
vitað vissi
